request_id,workflow,start_time,end_time,response_time,job_id,status,cold_start
31,ocr_workflow,1776226644.081645,1776226644.8984923,0.8168473243713379,a60b862b-f1a0-4d95-a6a4-2d1043c83633,200,False
2,ocr_workflow,1776226618.440897,1776226646.2594995,27.818602561950684,1229cb6b-0715-4d45-8129-d41092c9bd79,200,False
32,ecom_workflow,1776226644.276421,1776226646.5851138,2.308692693710327,00b55328-a4fc-49b1-955e-d47ece3d6147,200,False
33,ecom_workflow,1776226644.8154068,1776226647.1583657,2.342958927154541,8d0b9267-4e55-4bf9-9d59-6d159aa07162,200,False
34,etl_workflow,1776226648.111643,1776226648.9966202,0.8849771022796631,d136fdd1-7e0f-4f3d-ab62-22b811913b3e,200,False
35,fd_workflow,1776226648.9959455,1776226649.3005135,0.3045680522918701,460791bb-988b-4d87-8875-1f6ba22d48f3,200,False
36,tg_workflow,1776226649.694172,1776226649.9309878,0.2368159294128418,a64d73c1-95c3-49bc-a49e-cf07c6e000c9,200,False
37,tg_workflow,1776226650.4638808,1776226650.4828372,0.018956422805786133,2d00f169-7ca5-4637-b368-fe883cabc1da,200,False
40,img_workflow,1776226653.7476861,1776226653.8789668,0.13128066062927246,37a357ea-faac-4ef2-b664-7481289290b3,200,True
41,ocr_workflow,1776226654.7680554,1776226655.5850828,0.8170273303985596,7c5e48a4-98c9-484a-9ee5-9fa8a5737557,200,False
38,etl_workflow,1776226652.4263978,1776226656.1222613,3.6958634853363037,53e99707-99c8-47da-b952-7b85636a0d15,200,False
43,mc_workflow,1776226656.106531,1776226656.417789,0.31125807762145996,43f2dfcc-95e2-4e02-9077-db365145ac2e,200,False
44,tg_workflow,1776226656.4907875,1776226656.5031319,0.0123443603515625,eeecf864-46dd-417e-aa43-f643ba6c3934,200,False
45,img_workflow,1776226657.683171,1776226657.8159864,0.13281536102294922,60207517-7074-41ba-bf0a-4a0b20dba35a,200,False
39,log_workflow,1776226653.336975,1776226658.1070008,4.770025730133057,12ccaf69-d03e-4743-995a-9d6eb8218977,200,True
46,fd_workflow,1776226658.5180194,1776226659.2609353,0.7429158687591553,c8e1c1d6-2cdc-4be9-8adc-bf43084548d6,200,False
48,qr_workflow,1776226659.938751,1776226659.9669433,0.02819228172302246,0a58b8e1-3623-454f-b07c-45fe43ee866a,200,False
49,fd_workflow,1776226660.9461381,1776226661.5730255,0.626887321472168,030777bb-8aad-4abb-aaf8-eaac6dc961e0,200,False
47,ecom_workflow,1776226659.4250839,1776226661.8059776,2.3808937072753906,f0b91137-a114-4638-87b1-069d38be40f3,200,False
50,iot_workflow,1776226661.4595387,1776226662.439015,0.9794762134552002,e474b231-beae-41b2-b0cf-bb3ce372f8c4,200,False
51,sec_workflow,1776226662.1657,1776226662.5525932,0.38689327239990234,80b81644-9a03-4f55-ab19-350df3ca1ae2,200,True
53,img_workflow,1776226664.7108333,1776226664.8384924,0.12765908241271973,c549788f-dba7-4193-a01f-2ef824a57ffc,200,False
52,ocr_workflow,1776226664.3688147,1776226665.1215496,0.752734899520874,46c8d8d6-9c1e-4a1f-9482-6dcdf6879d90,200,False
54,tg_workflow,1776226667.4209528,1776226667.4359317,0.014978885650634766,5ae5c774-643e-405d-afa3-eeb2d1fca871,200,False
56,tg_workflow,1776226668.166529,1776226668.1893713,0.0228424072265625,b84317a5-008e-4b90-bae8-4077aa914d92,200,False
55,fd_workflow,1776226668.1263118,1776226668.921462,0.7951502799987793,5d6aa5c9-deaa-4bf5-9f2d-30fe3efff356,200,False
42,ocr_workflow,1776226655.2744858,1776226669.3363807,14.06189489364624,b1db81a0-fc80-4238-bbc5-d48531e44671,200,False
59,fd_workflow,1776226668.4400532,1776226669.3606696,0.9206163883209229,ff2cd1a0-8758-4aae-9226-0391cc22fc4e,200,False
60,sec_workflow,1776226668.964035,1776226669.4205804,0.456545352935791,2fc2575e-a088-4037-9ea8-38922d9e3bea,200,False
58,log_workflow,1776226668.3981514,1776226670.682038,2.283886671066284,4dfd0b88-96c5-4607-9212-97729391737f,200,False
61,ocr_workflow,1776226670.0864947,1776226670.857001,0.7705063819885254,1448e0d5-5d3f-4bad-965e-db28093b0d69,200,False
57,etl_workflow,1776226668.332975,1776226672.6028242,4.2698493003845215,f606ac17-10f6-480b-ac67-362854aed840,200,False
64,iot_workflow,1776226673.1165068,1776226673.5884902,0.4719834327697754,656e20de-f076-4b9d-8033-6f733d4c2bf9,200,False
62,iot_workflow,1776226671.890138,1776226673.6971009,1.8069629669189453,ee71197f-e23e-44df-b13a-c3ad033efee5,200,False
63,ecom_workflow,1776226672.1101396,1776226674.4392245,2.329084873199463,349bcecb-32c1-49f6-aca3-aed0c761f85b,200,False
66,fd_workflow,1776226674.3891358,1776226674.6886415,0.29950571060180664,901d2063-abd7-4d69-bb1c-c4670b859572,200,False
68,mc_workflow,1776226675.2303004,1776226675.3491383,0.11883783340454102,79883cbb-a5a3-4ebe-b42c-abc139fc2b15,200,False
67,img_workflow,1776226675.1950731,1776226675.409178,0.21410489082336426,6196c249-3ba7-48b5-9be3-ec65c15c5790,200,False
65,ecom_workflow,1776226673.5093389,1776226675.8976362,2.3882973194122314,53c8d32a-2991-4e81-935a-649e9ffda74f,200,False
69,sec_workflow,1776226676.1831152,1776226676.4993238,0.3162086009979248,8c8b0452-14ff-47f2-96e8-08683a5922fe,200,False
70,sec_workflow,1776226677.4241967,1776226677.6300333,0.20583653450012207,2c2c6e08-1e10-4562-ac29-6e12025b6a31,200,False
74,fd_workflow,1776226678.8228755,1776226679.131231,0.30835556983947754,f4432fbc-de03-4bcf-8248-b374eecb46a4,200,False
